"Title","Definition","ID","Tree"
"Client Ratio on Overall Revenue","","client-ratio-on-overall-revenue","Client Ratio on Overall Revenue"
"0 - 10 %","","0-10",,"0 - 10 %"
"10  - 20 %","","10-20",,"10  - 20 %"
"20 - 30 %","","20-30",,"20 - 30 %"
"30 - 40 %","","30-40",,"30 - 40 %"
"40 - 50 %","","40-50",,"40 - 50 %"
"50  % +","","50",,"50  % +"
"Market Destination","","market-destination","Market Destination"
"Africa","","africa",,"Africa"
"Europe","","europe",,"Europe"
"Far East","","far-east",,"Far East"
"Middle East","","middle-east",,"Middle East"
"North America","","north-america",,"North America"
"South America","","south-america",,"South America"
"More data types","","data-types","More data types"
"Colors Available","","colors-available",,"Colors Available"
"Composition","collection of materials","composition",,"Composition"
"Country","Country of the company","country",,"Country"
"Currency","","currency",,"Currency"
"Custom","yes/no","custom",,"Custom"
"Description","","description",,"Description"
"End Use","","end-use",,"End Use"
"Ethical","yes/no","ethical",,"Ethical"
"Grade","","grade",,"Grade"
"Lead Time Production","","lead-time-production",,"Lead Time Production"
"Lead Time Sampling","","lead-time-sampling",,"Lead Time Sampling"
"Minimum Order Quantity","","moq",,"Minimum Order Quantity"
"Product Name","varchar","product-name",,"Product Name"
"Product Reference","varchar","product-reference",,"Product Reference"
"Stock Service","yes/no","stock-service",,"Stock Service"
"Supplier","fk to supplier","supplier",,"Supplier"
"Price Range","","price-range",,"Price Range"
"Small Quantities","","small-quantities",,"Small Quantities"
"Supply-Ability (Weekly)","","supply-ability-weekly",,"Supply-Ability (Weekly)"
"Supply-Ability (Monthly)","","supply-ability-monthly",,"Supply-Ability (Monthly)"
"Packing","","packing",,"Packing"
"Shipping Information","","shipping-information",,"Shipping Information"
"Payment Method","","payment-method",,"Payment Method"
"Production Type","","production-type","Production Type"
"CMT","","cmt",,"CMT"
"Domestic Sampling + Overseas Production","","domestic-sampling-overseas-production",,"Domestic Sampling + Overseas Production"
"Fast Fashion Program","","fast-fashion-program",,"Fast Fashion Program"
"FPP - Full Package Program","","fpp-full-package-program",,"FPP - Full Package Program"
"HPP - Half Package Program","","hpp-half-package-program",,"HPP - Half Package Program"
"Licence","","licence",,"Licence"
"Prototyping Unit","","prototyping-unit",,"Prototyping Unit"
"Quality Range","","quality-range","Quality Range"
"Entry Level","","entry-level",,"Entry Level"
"High - End","","high-end",,"High - End"
"Luxury - Haute Couture","","luxury-haute-couture",,"Luxury - Haute Couture"
"Mid - Range","","mid-range",,"Mid - Range"
"Sector","","sector","Sector"
"Accessory","","accessory",,"Accessory"
"Bags - Leather Goods","","bags-leather-goods",,"Bags - Leather Goods"
"Clothing","","clothing",,"Clothing"
"Home Furnishing","","home-furnishing",,"Home Furnishing"
"Shoes","","shoes",,"Shoes"
"Upholstery","","upholstery",,"Upholstery"
"Segment","","segment","Segment"
"Baby boy (1-2 Years)","","baby-boy-1-2-years",,"Baby boy (1-2 Years)"
"Baby Girl (1-2 Years)","","baby-girl-1-2-years",,"Baby Girl (1-2 Years)"
"Boy (3-8 Years)","","boy-3-8-years",,"Boy (3-8 Years)"
"Girl (3-8 Years)","","girl-3-8-years",,"Girl (3-8 Years)"
"Junior boy (9-16 Years)","","junior-boy-9-16-years",,"Junior boy (9-16 Years)"
"Junior Girl (9-16 Years)","","junior-girl-9-16-years",,"Junior Girl (9-16 Years)"
"Man","","man",,"Man"
"Toddler (0 - 12 Months)","","toddler-0-12-months",,"Toddler (0 - 12 Months)"
"Woman","","woman",,"Woman"
"Unisex","","unisex",,"Unisex"
"Supplier Type","","supplier-type","Supplier Type"
"Component","","component",,"Component"
"Expert","","expert",,"Expert"
"Manufacturer","","manufacturer",,"Manufacturer"
"Material","","material",,"Material"
"Reseller - Stockist","","reseller-stockist",,"Reseller - Stockist"
"Units","","units","Units"
"Pcs","","pcs",,"Pcs"
"Sqft","","sqft",,"Sqft"
"Sqm / m2","","sqm-m2",,"Sqm / m2"
